Seqno,RunId,PreProcessor,Optimizer,Regularization,HiddenLayer,HiddenUnit,InputKeepProb,KeepProb,Alpha,lrdecay,decaystep,RS,Epoch,Minibatch,AUC(Train),AUC(Traindev),AUC(Val),AUC(Test),Loss(Train),Accuracy(Train),NullAccuracy(Train),Accuracy(Traindev),NullAccuracy(Traindev),Accuracy(Val),NullAccuracy(Val),Accuracy(Test),NullAccuracy(Test),Duration,StartTime,EndTime,Model Location,TFromDate,TToDate,TrainRow#,ValidationFromD,ValidationToD,TestFromD,TestToD,
2,VIHPOV,Standard,Adam,L2,1,1718,1,1,0.01,0.99,100,39987,1000,16384,0.9518,0.8472,0.5526,0.517,0.2918,89.38%,71.21%,80.98%,70.98%,72.51%,75.57%,60.86%,61.73%,0h50'34'',Thu Jan 25 20:24:47 2018,Thu Jan 25 21:15:22 2018,/home/topleaf/stock/savedModel/VIHPOV,2009/12/31,2012/12/30,,2014/01/31,2014/04/30,2014/5/1,2014/7/31,
1217,VZIJ7Y,MinMax,Adam,L2,6,115,1,1,0.01,0.99,100,39987,2000,65536,0.8725,0.7774,0.5161,0.5627,0.3866,84.00%,75.45%,79.53%,77.44%,66.72%,73.85%,58.58%,58.61%,0h5'14'',Mon Jan 22 11:00:38 2018,Mon Jan 22 11:05:53 2018,/home/topleaf/stock/savedModel/VZIJ7Y,2017/01/01,2017/05/31,,2017/07/02,2017/07/31,2017/08/01,2017/08/30,
1217,RV9IAT,MinMax,Adam,L2,6,115,1,1,0.01,0.99,100,39987,2000,65536,0.8708,0.7768,0.5184,0.5746,0.3782,83.81%,75.51%,77.79%,75.47%,68.55%,73.78%,61.89%,62.21%,0h11'18'',Wed Jan 24 18:11:11 2018,Wed Jan 24 18:22:29 2018,/home/topleaf/stock/savedModel/RV9IAT,2017/01/01,2017/05/31,,2017/07/02,2017/07/31,2017/08/01,2017/08/30,
6,TSR30J,Standard,Adam,L2,4,261,1,1,0.01,0.99,100,39987,1000,16384,0.929,0.8348,0.5618,0.5154,0.3757,87.17%,71.72%,80.41%,71.52%,70.61%,75.57%,59.94%,61.73%,0h40'32'',Thu Jan 25 22:00:38 2018,Thu Jan 25 22:41:10 2018,/home/topleaf/stock/savedModel/TSR30J,2010/12/31,2013/12/30,,2014/01/31,2014/04/30,2014/5/1,2014/7/31,
1217,095AT9,MinMax,Adam,L2,6,117,1,1,0.01,0.99,100,39987,2000,65536,0.873,0.7917,0.5588,0.5278,0.4019,83.32%,75.47%,79.07%,75.81%,71.19%,73.85%,58.53%,58.61%,0h8'52'',Sun Dec  3 20:17:41 2017,Sun Dec  3 20:26:36 2017,/home/topleaf/stock/savedModel/095AT9,2017/01/01,2017/05/31,,2017/07/02,2017/07/31,2017/08/01,2017/08/30,
1217,1PMCHR,MinMax,Adam,L2,6,117,1,1,0.01,0.99,100,39987,2000,65536,0.8671,0.7977,0.5375,0.5196,0.3976,82.64%,75.47%,78.60%,75.12%,72.61%,73.85%,58.58%,58.61%,0h5'10'',Tue Dec 19 15:39:22 2017,Tue Dec 19 15:44:32 2017,/home/topleaf/stock/savedModel/1PMCHR,2017/01/01,2017/05/31,,2017/07/02,2017/07/31,2017/08/01,2017/08/30,
1,IM0YOB,Standard,Adam,L2,1,1031,1,1,0.01,0.99,100,39987,1000,16384,0.9069,0.8396,0.5345,0.5347,0.3493,84.11%,67.03%,79.01%,67.27%,68.20%,75.57%,59.60%,61.73%,1h8'49'',Thu Jan 25 19:15:57 2018,Thu Jan 25 20:24:47 2018,/home/topleaf/stock/savedModel/IM0YOB,2005/01/01,2010/9/30,,2014/01/31,2014/04/30,2014/5/1,2014/7/31,
1217,B4R6V8,MinMax,Adam,L2,6,115,1,1,0.01,0.99,100,39987,2000,65536,0.8502,0.7879,0.5457,0.566,0.4058,82.01%,75.53%,76.51%,74.30%,69.93%,73.78%,61.61%,62.21%,0h11'46'',Wed Jan 24 17:47:40 2018,Wed Jan 24 17:59:26 2018,/home/topleaf/stock/savedModel/B4R6V8,2017/01/01,2017/05/31,,2017/07/02,2017/07/31,2017/08/01,2017/08/30,
11,H3ISKR,Standard,Adam,L2,6,84,1,1,0.01,0.99,100,39987,1000,16384,0.8943,0.8336,0.5656,0.56,0.3763,83.62%,71.21%,79.95%,70.80%,74.08%,75.57%,61.18%,61.73%,0h54'42'',Fri Jan 26 15:37:14 2018,Fri Jan 26 16:31:56 2018,/home/topleaf/stock/savedModel/H3ISKR,2009/12/31,2012/12/30,481376,2014/01/31,2014/04/30,2014/5/1,2014/7/31,
10,CY2JAZ,Standard,Adam,L2,6,84,1,1,0.01,0.99,100,39987,1000,16384,0.8735,0.8207,0.5717,0.5379,0.3934,83.01%,71.71%,79.15%,72.25%,71.32%,75.57%,60.52%,61.73%,1h1'32'',Fri Jan 26 14:35:42 2018,Fri Jan 26 15:37:14 2018,/home/topleaf/stock/savedModel/CY2JAZ,2010/12/31,2013/12/30,542604,2014/01/31,2014/04/30,2014/5/1,2014/7/31,
13,8I74P8,Standard,Adam,L2,6,84,1,1,0.01,0.99,100,39987,1000,16384,0.8795,0.8315,0.5228,0.532,0.4101,81.60%,66.85%,77.46%,67.95%,69.87%,75.57%,59.72%,61.73%,0h55'22'',Mon Jan 29 22:21:54 2018,Mon Jan 29 23:17:16 2018,/home/topleaf/stock/savedModel/8I74P8,2005/02/01,2010/04/30,564658,2014/01/31,2014/04/30,2014/5/1,2014/7/31,
20,4QZAW2,Standard,Adam,L2,6,84,1,1,0.01,0.99,100,39987,800,16384,0.8696,0.8258,0.5399,0.5401,0.4293,80.92%,66.45%,77.53%,65.93%,60.30%,69.71%,60.66%,78.59%,1h3'27'',Mon Feb 12 15:48:51 2018,Mon Feb 12 16:52:19 2018,/home/topleaf/stock/savedModel/4QZAW2,2013/12/31,2016/12/30,578979,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
26,SZCHS9,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,0.8323,0.7926,0.5632,0.6107,0.4396,80.22%,71.73%,77.89%,71.10%,69.65%,69.71%,72.98%,78.59%,0h58'26'',Sat Feb 24 21:11:43 2018,Sat Feb 24 22:10:10 2018,/home/topleaf/stock/savedModel/SZCHS9,2011/03/31,2013/08/30,437030,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
1217,TRQCMN,MinMax,Adam,L2,6,115,1,1,0.01,0.99,100,39987,2000,65536,0.8396,0.805,0.5385,0.519,0.4273,80.22%,75.45%,80.12%,77.56%,72.06%,73.85%,58.45%,58.61%,0h5'3'',Tue Dec 19 16:15:26 2017,Tue Dec 19 16:20:30 2017,/home/topleaf/stock/savedModel/TRQCMN,2017/01/01,2017/05/31,,2017/07/02,2017/07/31,2017/08/01,2017/08/30,
28,6F09YG,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,0.8386,0.813,0.5824,0.5967,0.4411,80.28%,70.62%,78.94%,70.18%,68.86%,69.71%,59.03%,78.59%,1h0'37'',Sat Feb 24 23:05:35 2018,Sun Feb 25 00:06:13 2018,/home/topleaf/stock/savedModel/6F09YG,2011/9/30,2014/02/28,454500,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
22,04YI62,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,0.8512,0.8272,0.5118,0.5916,0.4492,78.95%,65.15%,76.74%,64.32%,64.28%,69.71%,54.23%,78.59%,0h59'15'',Sat Feb 24 16:58:14 2018,Sat Feb 24 17:57:29 2018,/home/topleaf/stock/savedModel/04YI62,2013/12/31,2016/05/30,440902,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
15,J56JOM,MinMax,Adam,L2,6,84,1,1,0.01,0.99,100,39987,1000,16384,0.8352,0.813,0.5471,0.5653,0.4629,78.16%,66.44%,76.92%,66.63%,68.47%,69.71%,74.15%,78.59%,1h8'7'',Wed Jan 31 15:58:06 2018,Wed Jan 31 17:06:13 2018,/home/topleaf/stock/savedModel/J56JOM,2013/12/31,2016/12/30,578979,2017/07/03,2017/09/30,2017/10/01,2017/12/28,"0.8352,0.813;??????????zhishucode?selectedaverageline??"
27,10MM0S,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,0.8391,0.817,0.582,0.5957,0.4268,80.80%,71.79%,79.82%,71.93%,69.08%,69.71%,61.96%,78.59%,0h55'25'',Sat Feb 24 22:10:10 2018,Sat Feb 24 23:05:35 2018,/home/topleaf/stock/savedModel/10MM0S,2011/6/30,2013/11/30,449918,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
8,7I5J1F,MinMax,Adam,L2,4,103,1,1,0.01,0.99,100,39987,1000,16384,0.8528,0.8308,0.5773,0.553,0.416,81.40%,71.20%,80.63%,71.89%,74.10%,75.57%,61.63%,61.73%,1h0'48'',Fri Jan 26 09:14:55 2018,Fri Jan 26 10:15:43 2018,/home/topleaf/stock/savedModel/7I5J1F,2009/12/31,2012/12/30,481376,2014/01/31,2014/04/30,2014/5/1,2014/7/31,
