Seqno,Preprocessor,Optimizer,Regularization,HiddenLayer,HiddenUnit,InputKeepProb,KeepProb,Alpha,lrdecay,decaystep,RS,Epoch,Minibatch,Skip,TFromDate,TToDate,TestFromD,TestToD,ValidationDays,Comments(rows #),"commentsOnTestResult(TrainAUC,TraindevAUC)"
0,Standard,Adam,L2,1,5152,1,1,0.01,0.99,100,39987,1000,16384,y,2010/12/31,2013/12/30,2014/5/1,2014/7/31,90,Past 3 years vs 3 months,
1,Standard,Adam,L2,1,1031,1,1,0.01,0.99,100,39987,1000,16384,y,2005/01/01,2010/9/30,2014/5/1,2014/7/31,90,,overfit
2,Standard,Adam,L2,1,1718,1,1,0.01,0.99,100,39987,1000,16384,y,2009/12/31,2012/12/30,2014/5/1,2014/7/31,90,,overfit
6,Standard,Adam,L2,4,261,1,1,0.01,0.99,100,39987,1000,16384,Y,2010/12/31,2013/12/30,2014/5/1,2014/7/31,90,,"0.929,0.8348 overfit"
7,MinMax,Adam,L2,4,103,1,1,0.01,0.99,100,39987,1000,16384,Y,2010/12/31,2013/12/30,2014/5/1,2014/7/31,90,542604,"0.8368,0.8195"
8,MinMax,Adam,L2,4,103,1,1,0.01,0.99,100,39987,1000,16384,n,2009/12/31,2012/12/30,2014/5/1,2014/7/31,90,481376,"0.8528,0.8308"
9,MinMax,Adam,L2,4,103,1,1,0.01,0.99,100,39987,1000,16384,y,2005/01/04,2010/03/30,2014/5/1,2014/7/31,90,559437,"0.8532,0.8381"
10,Standard,Adam,L2,6,84,1,1,0.01,0.99,100,39987,1000,16384,y,2010/12/31,2013/12/30,2014/5/1,2014/7/31,90,542604,"0.8735,0.8207"
11,Standard,Adam,L2,6,84,1,1,0.01,0.99,100,39987,1000,16384,y,2009/12/31,2012/12/30,2014/5/1,2014/7/31,90,481376,"0.8943,0.8336"
12,MinMax,Adam,L2,6,84,1,1,0.01,0.99,100,39987,1000,16384,y,2005/01/04,2010/03/30,2014/5/1,2014/7/31,90,559437,"0.8532,0.8345"
13,Standard,Adam,L2,6,84,1,1,0.01,0.99,100,39987,1000,16384,y,2005/02/01,2010/04/30,2014/5/1,2014/7/31,90,564658,"0.8795,0.8315"
14,MinMax,Adam,L2,6,84,1,1,0.01,0.99,100,39987,1000,16384,y,2005/03/01,2010/05/30,2014/5/1,2014/7/31,90,,"0.854,0.843"
15,MinMax,Adam,L2,6,84,1,1,0.01,0.99,100,39987,1000,16384,y,2013/12/31,2016/12/30,2017/10/01,2017/12/28,90,578979,"0.8352,0.813;??????????zhishucode?selectedaverageline??"
16,MinMax,Adam,L2,6,84,1,1,0.01,0.99,100,39987,1000,16384,y,2013/12/31,2016/12/30,2017/10/01,2017/12/28,90,,
17,MinMax,Adam,L2,6,74,1,1,0.01,0.99,100,39987,1000,16384,y,2013/12/31,2016/12/30,2017/10/01,2017/12/28,90,,
18,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,y,2014/12/31,2017/05/30,2017/10/01,2017/12/28,90,,
19,MinMax,Adam,L2,6,84,1,1,0.01,0.99,100,12,1500,16384,y,2013/12/31,2016/12/30,2017/10/01,2017/12/28,90,,
20,Standard,Adam,L2,6,84,1,1,0.01,0.99,100,39987,800,16384,y,2013/12/31,2016/12/30,2017/10/01,2017/12/28,90,564658,"0.8795,0.8315"
21,MinMax,Adam,None,6,68,0.95,0.8,0.01,0.99,100,39987,1000,16384,y,2013/12/31,2016/12/30,2017/10/01,2017/12/28,90,,
22,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,y,2013/12/31,2016/05/30,2017/10/01,2017/12/28,90,,
23,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,y,2012/12/31,2015/05/30,2017/10/01,2017/12/28,90,,
24,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,y,2011/12/31,2014/05/30,2017/10/01,2017/12/28,90,,
25,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,y,2010/12/31,2013/05/30,2017/10/01,2017/12/28,90,,
26,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,y,2011/03/31,2013/08/30,2017/10/01,2017/12/28,90,,
27,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,y,2011/6/30,2013/11/30,2017/10/01,2017/12/28,90,,
28,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,y,2011/9/30,2014/02/28,2017/10/01,2017/12/28,90,,
29,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,y,2012/03/31,2014/08/31,2017/10/01,2017/12/28,90,,
30,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,y,2012/06/30,2014/11/30,2017/10/01,2017/12/28,90,,
31,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,y,2012/09/30,2015/02/28,2017/10/01,2017/12/28,90,,
32,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,y,2013/03/31,2015/08/31,2017/10/01,2017/12/28,90,,
33,MinMax,Adam,L2,6,299,1,1,0.01,0.99,100,39987,1000,16384,y,2010/12/31,2016/05/30,2017/10/01,2017/12/28,90,,
34,MinMax,Adam,L2,6,124,1,1,0.01,0.99,100,39987,1000,16384,y,2010/12/31,2016/05/30,2017/10/01,2017/12/28,90,,
35,MinMax,Adam,L2,10,124,1,1,0.01,0.99,100,39987,1000,16384,y,2010/12/31,2016/05/30,2017/10/01,2017/12/28,90,,
36,MinMax,Adam,L2,6,299,1,1,0.01,0.99,100,39987,1000,16384,y,2009/9/30,2016/02/28,2017/10/01,2017/12/28,90,,
37,MinMax,Adam,L2,6,299,1,1,0.01,0.99,100,39987,1000,16384,y,2009/6/30,2015/11/30,2017/10/01,2017/12/28,90,,
38,MinMax,Adam,L2,6,299,1,1,0.01,0.99,100,39987,1000,16384,y,2009/3/30,2015/08/31,2017/10/01,2017/12/28,90,,
39,MinMax,Adam,L2,10,124,1,1,0.01,0.99,100,39987,1000,16384,y,2005/1/1,2010/5/30,2017/10/01,2017/12/28,90,,
40,MinMax,Adam,L2,10,124,1,1,0.01,0.99,100,39987,1000,16384,y,2005/1/1,2012/12/31,2017/10/01,2017/12/28,90,,
41,MinMax,Adam,L2,10,124,1,1,0.01,0.99,100,39987,1000,16384,y,2007/12/31,2013/5/30,2017/10/01,2017/12/28,90,,
42,MinMax,Adam,L2,10,124,1,1,0.01,0.99,100,39987,1000,16384,y,2006/01/01,2013/12/31,2017/10/01,2017/12/28,90,,
43,MinMax,Adam,L2,10,124,1,1,0.01,0.99,100,39987,1000,16384,y,2008/01/01,2015/12/31,2017/10/01,2017/12/28,90,,
44,MinMax,Adam,L2,10,124,1,1,0.01,0.99,100,39987,1000,16384,y,2007/1/1,2014/12/31,2017/10/01,2017/12/28,90,,
45,MinMax,Adam,L2,10,124,1,1,0.01,0.99,100,39987,1000,16384,y,2009/1/1,2016/12/31,2017/10/01,2017/12/28,90,,
46,MinMax,Adam,L2,10,124,1,1,0.01,0.99,100,39987,1000,16384,Y,2010/01/01,2017/6/30,2017/10/01,2017/12/28,90,,
47,Standard,Adam,L2,1,84,1,1,0.01,0.99,100,39987,1000,16384,y,2005/01/01,2016/08/31,2017/06/01,2017/08/31,90,Past11 year vs 3 months,
100,Standard,Adam,L2,1,110,1,1,0.01,0.99,100,39987,1000,65536,y,2005/01/01,2005/12/31,2017/06/01,2017/08/31,90,stable low 1 year vs 3 months,
101,MinMax,Adam,L2,2,76,1,1,0.01,0.99,100,39987,1000,65536,y,2005/01/01,2005/12/31,2017/06/01,2017/08/31,90,training+traindev110222,
102,Standard,Adam,L2,3,63,1,1,0.01,0.99,100,39987,1000,65536,y,2005/01/01,2005/12/31,2017/06/01,2017/08/31,90,,
103,MinMax,Adam,L2,4,55,1,1,0.01,0.99,100,39987,1000,65536,y,2005/01/01,2005/12/31,2017/06/01,2017/08/31,90,,
