Seqno,Skip,TFromDate,TToDate,TestFromD,TestToD,MinAUC(Val),MaxAUC(Val),
0,Y,2011/6/30,2013/11/30,2015/6/1,2015/8/31,0.582,0.583,
1,Y,2009/12/31,2012/12/30,2015/6/1,2015/8/31,0.577,0.5773,rebuild model
2,Y,2011/12/31,2014/05/30,2015/6/1,2015/8/31,0.567,0.568,
3,Y,2010/12/31,2013/05/30,2015/6/1,2015/8/31,0.5677,0.568,
4,Y,2013/12/31,2016/12/30,2015/6/1,2015/8/31,0.5848,0.592,NA process
5,Y,2010/12/31,2013/12/30,2015/6/1,2015/8/31,0.5779,0.579,rebuild model
6,Y,2005/1/1,2012/12/31,2015/6/1,2015/8/31,0.5678,0.569,
7,Y,2006/01/01,2013/12/31,2015/6/1,2015/8/31,0.5704,0.5704,
8,N,2005/1/1,2012/12/31,2017/5/11,2017/08/11,0.5678,0.569,
9,N,2006/01/01,2013/12/31,2017/5/11,2017/8/11,0.5704,0.5704,
